Use,Z,thickness,sigmaX,sigmaY,angle,xyshape,hiteff
# Sci-Fi T1
1,7826.1,0.012,0.140,,0.,Frugal_Fibre_x,1.0
1,7895.9,0.012,0.140,,5.0,Frugal_Fibre_u,1.0
1,7966.1,0.012,0.140,,-5.0,Frugal_Fibre_v,1.0
1,8035.9,0.012,0.140,,0.,Frugal_Fibre_x,1.0
# Sci-Fi T2
1,8507.1,0.012,0.140,,0.,Frugal_Fibre_x,1.0
1,8576.9,0.012,0.140,,5.0,Frugal_Fibre_u,1.0
1,8647.1,0.012,0.140,,-5.0,Frugal_Fibre_v,1.0
1,8716.9,0.012,0.140,,0.,Frugal_Fibre_x,1.0
# Sci-Fi T3
1,9192.1,0.012,0.140,,0.,Frugal_Fibre_x,1.0
1,9261.9,0.012,0.140,,5.0,Frugal_Fibre_u,1.0
1,9332.1,0.012,0.140,,-5.0,Frugal_Fibre_v,1.0
1,9401.9,0.012,0.140,,0.,Frugal_Fibre_x,1.0
#MP T0 1 plane + Passive service (1 plane)
1,7046.5,0.0275,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,7041.5,0.0103,,,,Frugal_Fibre_x,1.0
1,7051.5,0.0103,,,,Frugal_Fibre_x,1.0
#MP T1 2 plane + Passive service (2 planes - split in 2 passive)
1,7683.5,0.0172,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,7743.5,0.0172,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,7708.5,0.0135,,,,Frugal_Fibre_x,1.0
1,7718.5,0.0135,,,,Frugal_Fibre_x,1.0
#MP T2 2 plane + Passive service (2 planes - split in 2 passive)
1,8350.5,0.0172,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,8410.5,0.0172,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,8375.5,0.0135,,,,Frugal_Fibre_x,1.0
1,8385.5,0.0135,,,,Frugal_Fibre_x,1.0
#MP T3 1 plane + Passive service (2 planes - split in 1 passive 1.03 % per passive , total 2.06 %)
1,9085.5,0.0275,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,9080.5,0.0103,,,,Frugal_Fibre_x,1.0
1,9090.5,0.0103,,,,Frugal_Fibre_x,1.0
